property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,amenities,price,security_deposit,cleaning_fee,extra_people,guests_included,weekly_price,monthly_price,reviews_per_month,coordinate1,coordinate2,coutry_code,coutry,availability_30,availability_60,availability_90,availability_365,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating
House,Entire home/apt,Real Bed,2,30,moderate,8,3,5,51,1,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Pets allowed', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Pack ’n Play/travel crib', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Cleaning before checkout', 'Waterfront']",80.0,200.0,35.0,15,15,600.0,3000.0,0,-8.61308,41.1413,PT,Portugal,28,47,74,239,9.0,9.0,10.0,10.0,10.0,9.0,89.0
Apartment,Entire home/apt,Real Bed,2,1125,flexible,4,1,2,0,1,"['Wifi', 'Wheelchair accessible', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Hot tub', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'First aid kit', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",317.0,0.0,187.0,0,0,1492.0,4849.0,0,-43.23074991429229,-22.966253551739655,BR,Brazil,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Condominium,Entire home/apt,Real Bed,3,365,strict_14_with_grace_period,2,1,1,96,1,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Elevator', 'Hot tub', 'Washer', 'Dryer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'BBQ grill', 'Garden or backyard', 'Well-lit path to entrance', 'Disabled parking spot', 'Step-free access', 'Wide clearance to bed', 'Step-free access']",115.0,0.0,100.0,0,0,650.0,2150.0,0,-157.83919,21.28634,US,United States,16,46,76,343,9.0,8.0,9.0,9.0,10.0,9.0,84.0
Apartment,Private room,Real Bed,14,1125,flexible,1,1,1,1,1,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Lock on bedroom door']",40.0,0.0,0.0,0,0,600.0,3000.0,0,-73.93615,40.69791,US,United States,0,0,0,0,10.0,10.0,10.0,10.0,8.0,8.0,100.0
Apartment,Private room,Real Bed,1,1125,flexible,2,1,1,0,2,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Doorman', 'Gym', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Essentials', '24-hour check-in']",701.0,1000.0,250.0,0,0,600.0,3000.0,0,-43.205047082633435,-22.971950988341874,BR,Brazil,28,58,88,363,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,2,1,1,70,1,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'translation missing: en.hosting_amenity_50']",135.0,0.0,135.0,0,0,600.0,3000.0,0,-73.96523,40.79962,US,United States,0,0,0,93,10.0,9.0,10.0,10.0,10.0,10.0,94.0
Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,4,1,3,70,2,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Oven', 'Stove', 'Long term stays allowed', 'Wide hallway clearance', 'Host greets you']",119.0,600.0,150.0,40,40,600.0,3000.0,0,-43.190849194463404,-22.984339360067814,BR,Brazil,7,19,33,118,10.0,10.0,10.0,10.0,10.0,10.0,98.0
House,Entire home/apt,Real Bed,2,1125,flexible,6,2,6,1,1,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Pets allowed', 'Pets live on this property', 'Cat(s)', 'Heating', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",527.0,0.0,211.0,211,211,600.0,3000.0,0,29.03133,40.98585,TR,Turkey,27,57,87,362,10.0,10.0,10.0,10.0,10.0,10.0,100.0
House,Private room,Real Bed,2,1125,strict_14_with_grace_period,8,1,8,1,4,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Smoking allowed', 'Family/kid friendly', 'First aid kit', 'Fire extinguisher', 'Essentials']",250.0,0.0,0.0,40,40,600.0,3000.0,0,-43.18015675229857,-22.92638234778768,BR,Brazil,10,10,21,296,10.0,6.0,8.0,8.0,8.0,8.0,80.0
Apartment,Entire home/apt,Real Bed,1,1125,flexible,4,1,2,0,1,"['Internet', 'Wifi', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Iron', 'Laptop friendly workspace']",50.0,0.0,0.0,31,31,600.0,3000.0,0,-73.59111,45.51889,CA,Canada,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
